dex,contour,solidity,symmetry,aspect,occupancy,eff_colors,edge_density,area
132,1.0504202101227926,0.9095034030753718,0.8331263407474314,1.1717171717171717,0.4954833984375,22,0.059220251293422024,32472
133,1.8782955163689532,0.7161671839053839,0.5678745267712277,0.8189655172413793,0.3538818359375,22,0.22399965505346672,23192
134,1.916441824372883,0.587682170169785,0.5467434647762517,0.9137931034482759,0.3728790283203125,22,0.287514834063101,24437
135,2.482494970270007,0.6534808520510998,0.531086498607053,0.8879310344827587,0.3438262939453125,19,0.27754848444503616,22533
136,1.9234527297037003,0.6971648118706942,0.6033516148689824,1.1207729468599035,0.4014739990234375,22,0.18646193607236516,26311
137,1.4632182542656675,0.7927917749406846,0.5036965605914497,0.9568965517241379,0.42828369140625,20,0.2113082513894827,28068
138,1.209591237531246,0.9461178750473943,0.6241743406778844,0.8793103448275862,0.5140228271484375,22,0.2201145842609909,33687
139,2.0127355591367353,0.7316560413907963,0.6544017779972836,1.1372549019607843,0.408905029296875,22,0.2825210836629599,26798
140,1.143970682823029,0.9560552983860878,0.8622517363226514,1.3567251461988303,0.4664154052734375,21,0.15124153498871332,30567
141,3.0867088009452934,0.5281309245009479,0.4534642829739891,0.8922413793103449,0.2890472412109375,18,0.33273504724700415,18943
142,2.9329141540276553,0.4897381457891012,0.43086068751615403,1.6,0.1689453125,22,0.3808706647398844,11072
143,1.2486299879829617,0.8787938124143333,0.8654559406573731,1.2473118279569892,0.44512939453125,20,0.16389003153709036,29172
144,3.7678006710562566,0.5353432146601027,0.2746919431279621,0.8841201716738197,0.30780029296875,21,0.3578227245687091,20172
145,3.7476188866704594,0.5842192903804279,0.6196732954545454,1.4409937888198758,0.2087860107421875,21,0.3474384272454871,13683
146,2.8613490705865674,0.5220074711710249,0.41274725274725277,2.1376146788990824,0.147125244140625,21,0.34204521883426675,9642
147,2.0051391080280454,0.477259285545304,0.08061600267827251,1.0265486725663717,0.2462615966796875,19,0.2057748311543466,16139
