file,role,occupancy,aspect,eff_colors,regions,small_regions,contour,solidity,symmetry,edge_density,complexity
71.png,zako,0.3851953125,1.1774193548387097,45,14,30,1.928876237371114,0.7758763129942169,0.6044581841848357,0.31457255856404015,0.8841833027807231
72.png,zako,0.2766015625,1.2166666666666666,47,14,29,1.77673902062643,0.6756679389312977,0.5638250883392226,0.36407287106340913,0.8761063435828871
73.png,cool,0.304609375,1.3035714285714286,48,23,45,3.478814986506374,0.712178638293986,0.5512233936741595,0.5493716337522442,1.0
74.png,zako,0.159453125,2.607142857142857,53,18,70,1.779359141794857,0.6688513845649681,0.5051622418879056,0.45369916707496327,0.9123664878739286
75.png,zako,0.222421875,2.0277777777777777,48,37,90,1.6037756996207482,0.8374145157732186,0.6305841924398625,0.47348085704250087,0.8757866040876559
76.png,cool,0.465546875,1.0735294117647058,49,37,46,1.47029893901242,0.7766699250570218,0.5739566825145272,0.3404933713710354,0.8416411932082778
77.png,cute,0.286171875,0.7862068965517242,39,16,24,2.445487887507821,0.6377366702937977,0.4370341310317772,0.3134043134043134,0.9756028756028756
78.png,cool,0.333125,0.863013698630137,41,19,39,3.488490752456947,0.6215969969751084,0.4265640682502509,0.37546904315197,1.0
79.png,gag,0.4007421875,1.2372881355932204,45,22,30,1.5763729875706611,0.7799445014634888,0.7207312982220732,0.24865971342236085,0.8025175146921284
8.png,starter,0.460859375,0.9863013698630136,46,34,33,1.5271025352255265,0.7217888715548622,0.5774836208049204,0.3658247160535684,0.8598130281719847
80.png,gag,0.493671875,0.9041095890410958,47,33,48,1.4554050785664274,0.8243428347792056,0.6031967525053914,0.3631903782244026,0.8448760580346724
81.png,zako,0.2274609375,1.825,49,21,48,1.8705623543030534,0.7049210096241147,0.37464589235127477,0.39343980765928216,0.9313671571464694
82.png,zako,0.364921875,1.106060606060606,44,38,49,2.7931037911330114,0.6625531914893616,0.7543661971830986,0.4700278312995076,1.0
83.png,gag,0.3533203125,0.8356164383561644,39,21,41,2.0525648002415338,0.7488512646437886,0.5314933965458856,0.38684355997788833,0.9692843333836529
